"BRC_NAMES","BRC_NUMBER","AMALG_BRC_NAME","AMALG_BRC_CODE","GROWTH_FORM"
"Eurhynchium swartzii",820256,"Eurhynchium swartzii",820256,"b"
"Fagus sylvatica",920810,"Fagus sylvatica",920810,"w"
"Fallopia japonica",9201528,"Fallopia japonica",9201528,"f"
"Festuca altissima",920812,"Festuca altissima",920812,"g"
"Festuca arundinacea",920813,"Festuca arundinacea",920813,"g"
"Festuca gigantea",920816,"Festuca gigantea",920816,"g"
"Festuca ovina agg.",920821,"Festuca ovina agg.",920821,"g"
"Festuca ovina/rubra (vegetative)",9204916,"Festuca ovina/rubra (vegetative)",9204916,"g"
"Festuca rubra agg.",920824,"Festuca rubra agg.",920824,"g"
"Festuca sp.",200001182,"Festuca sp.",200001182,"g"
"Festuca vivipara",920826,"Festuca vivipara",920826,"g"
